,input_text
3953,"If you don't see how, well, that's 'cause they're tipped against you. Still, by way of gratitude, I can supply you a night with some very amenable women. I've fucked enough whores. You're gonna need to sweeten the pot."
3954,"well, that's 'cause they're tipped against you. Still, by way of gratitude, I can supply you a night with some very amenable women. I've fucked enough whores. You're gonna need to sweeten the pot. How about I sweeten it by killing you quickly?"
3955,"Still, by way of gratitude, I can supply you a night with some very amenable women. I've fucked enough whores. You're gonna need to sweeten the pot. How about I sweeten it by killing you quickly? There's something you're seeking, isn't there?"
3956,"I can supply you a night with some very amenable women. I've fucked enough whores. You're gonna need to sweeten the pot. How about I sweeten it by killing you quickly? There's something you're seeking, isn't there? I know what that feels like. I'm seeking something, too."
3957,"I've fucked enough whores. You're gonna need to sweeten the pot. How about I sweeten it by killing you quickly? There's something you're seeking, isn't there? I know what that feels like. I'm seeking something, too. If you let us, I know we can help you."
3958,"You're gonna need to sweeten the pot. How about I sweeten it by killing you quickly? There's something you're seeking, isn't there? I know what that feels like. I'm seeking something, too. If you let us, I know we can help you. How is it the lunatics always find their way to me?"
3959,"How about I sweeten it by killing you quickly? There's something you're seeking, isn't there? I know what that feels like. I'm seeking something, too. If you let us, I know we can help you. How is it the lunatics always find their way to me? Then again, the Confederados are missing a few bullets in their barrels, too."
3960,"There's something you're seeking, isn't there? I know what that feels like. I'm seeking something, too. If you let us, I know we can help you. How is it the lunatics always find their way to me? Then again, the Confederados are missing a few bullets in their barrels, too. You folks just might get along."
3961,"I know what that feels like. I'm seeking something, too. If you let us, I know we can help you. How is it the lunatics always find their way to me? Then again, the Confederados are missing a few bullets in their barrels, too. You folks just might get along. A Union convoy is transporting a shipment of nitroglycerin from the front today."
3962,"If you let us, I know we can help you. How is it the lunatics always find their way to me? Then again, the Confederados are missing a few bullets in their barrels, too. You folks just might get along. A Union convoy is transporting a shipment of nitroglycerin from the front today. The Confederados would like to divest them of said shipment,"
3963,"How is it the lunatics always find their way to me? Then again, the Confederados are missing a few bullets in their barrels, too. You folks just might get along. A Union convoy is transporting a shipment of nitroglycerin from the front today. The Confederados would like to divest them of said shipment, but we are not welcome that side of the border."
3964,"Then again, the Confederados are missing a few bullets in their barrels, too. You folks just might get along. A Union convoy is transporting a shipment of nitroglycerin from the front today. The Confederados would like to divest them of said shipment, but we are not welcome that side of the border. A trio of travelers such as yourselves, however..."
3965,"You folks just might get along. A Union convoy is transporting a shipment of nitroglycerin from the front today. The Confederados would like to divest them of said shipment, but we are not welcome that side of the border. A trio of travelers such as yourselves, however... You want us to help the Confederados steal from the Union?"
3966,"A Union convoy is transporting a shipment of nitroglycerin from the front today. The Confederados would like to divest them of said shipment, but we are not welcome that side of the border. A trio of travelers such as yourselves, however... You want us to help the Confederados steal from the Union? They're just going to use that nitro"
3967,"The Confederados would like to divest them of said shipment, but we are not welcome that side of the border. A trio of travelers such as yourselves, however... You want us to help the Confederados steal from the Union? They're just going to use that nitro to slaughter your people below the border."
3968,"but we are not welcome that side of the border. A trio of travelers such as yourselves, however... You want us to help the Confederados steal from the Union? They're just going to use that nitro to slaughter your people below the border. Personal grudges hold no sway where profit is concerned."
3969,"A trio of travelers such as yourselves, however... You want us to help the Confederados steal from the Union? They're just going to use that nitro to slaughter your people below the border. Personal grudges hold no sway where profit is concerned. Oh, we understand."
3970,"You want us to help the Confederados steal from the Union? They're just going to use that nitro to slaughter your people below the border. Personal grudges hold no sway where profit is concerned. Oh, we understand. We're businessmen, too."
3971,"They're just going to use that nitro to slaughter your people below the border. Personal grudges hold no sway where profit is concerned. Oh, we understand. We're businessmen, too. Very well, then."
3972,"to slaughter your people below the border. Personal grudges hold no sway where profit is concerned. Oh, we understand. We're businessmen, too. Very well, then. But blondie here, she's gonna need a change of clothes for the occasion."
3973,"Personal grudges hold no sway where profit is concerned. Oh, we understand. We're businessmen, too. Very well, then. But blondie here, she's gonna need a change of clothes for the occasion. Mmm."
3974,"Oh, we understand. We're businessmen, too. Very well, then. But blondie here, she's gonna need a change of clothes for the occasion. Mmm. My, my, look who's packing."
3975,"We're businessmen, too. Very well, then. But blondie here, she's gonna need a change of clothes for the occasion. Mmm. My, my, look who's packing. I don't aim to use this."
3976,"Very well, then. But blondie here, she's gonna need a change of clothes for the occasion. Mmm. My, my, look who's packing. I don't aim to use this. Those men are Union soldiers, like my father was."
3977,"But blondie here, she's gonna need a change of clothes for the occasion. Mmm. My, my, look who's packing. I don't aim to use this. Those men are Union soldiers, like my father was. I know. We won't hurt them. We're gonna stick to the plan."
3978,"Mmm. My, my, look who's packing. I don't aim to use this. Those men are Union soldiers, like my father was. I know. We won't hurt them. We're gonna stick to the plan. We'll take the nitro and go."
3979,"My, my, look who's packing. I don't aim to use this. Those men are Union soldiers, like my father was. I know. We won't hurt them. We're gonna stick to the plan. We'll take the nitro and go. All right."
3980,"I don't aim to use this. Those men are Union soldiers, like my father was. I know. We won't hurt them. We're gonna stick to the plan. We'll take the nitro and go. All right. It's showtime."
3981,"Those men are Union soldiers, like my father was. I know. We won't hurt them. We're gonna stick to the plan. We'll take the nitro and go. All right. It's showtime. Halt!"
3982,I know. We won't hurt them. We're gonna stick to the plan. We'll take the nitro and go. All right. It's showtime. Halt! Howdy.
3983,We'll take the nitro and go. All right. It's showtime. Halt! Howdy. My associates and I are here to relieve you of your ride.
3984,All right. It's showtime. Halt! Howdy. My associates and I are here to relieve you of your ride. Someone's been telling you boys tales. Nothing in this wagon worth taking.
3985,"It's showtime. Halt! Howdy. My associates and I are here to relieve you of your ride. Someone's been telling you boys tales. Nothing in this wagon worth taking. The story I heard is one bullet from us,"
3986,"Halt! Howdy. My associates and I are here to relieve you of your ride. Someone's been telling you boys tales. Nothing in this wagon worth taking. The story I heard is one bullet from us, and that ""nothing"" blows you all to kingdom come."
3987,"Howdy. My associates and I are here to relieve you of your ride. Someone's been telling you boys tales. Nothing in this wagon worth taking. The story I heard is one bullet from us, and that ""nothing"" blows you all to kingdom come. Well, then you understand why we cannot surrender it."
3988,"My associates and I are here to relieve you of your ride. Someone's been telling you boys tales. Nothing in this wagon worth taking. The story I heard is one bullet from us, and that ""nothing"" blows you all to kingdom come. Well, then you understand why we cannot surrender it. We're sworn to protect the people of this young republic"
3989,"Someone's been telling you boys tales. Nothing in this wagon worth taking. The story I heard is one bullet from us, and that ""nothing"" blows you all to kingdom come. Well, then you understand why we cannot surrender it. We're sworn to protect the people of this young republic from reckless, halfwits like you."
3990,"The story I heard is one bullet from us, and that ""nothing"" blows you all to kingdom come. Well, then you understand why we cannot surrender it. We're sworn to protect the people of this young republic from reckless, halfwits like you. Call me halfwit again."
3991,"and that ""nothing"" blows you all to kingdom come. Well, then you understand why we cannot surrender it. We're sworn to protect the people of this young republic from reckless, halfwits like you. Call me halfwit again. Please."
3992,"Well, then you understand why we cannot surrender it. We're sworn to protect the people of this young republic from reckless, halfwits like you. Call me halfwit again. Please. Do as he says. We don't want to hurt you."
3993,"We're sworn to protect the people of this young republic from reckless, halfwits like you. Call me halfwit again. Please. Do as he says. We don't want to hurt you. Yeah, I'd listen to her."
3994,"from reckless, halfwits like you. Call me halfwit again. Please. Do as he says. We don't want to hurt you. Yeah, I'd listen to her. He'll shoot just to see the fireworks."
3995,"Call me halfwit again. Please. Do as he says. We don't want to hurt you. Yeah, I'd listen to her. He'll shoot just to see the fireworks. Hand them over."
3996,"Please. Do as he says. We don't want to hurt you. Yeah, I'd listen to her. He'll shoot just to see the fireworks. Hand them over. Come on."
3997,"Do as he says. We don't want to hurt you. Yeah, I'd listen to her. He'll shoot just to see the fireworks. Hand them over. Come on. Hey. Come on down, give me your guns. Everybody lives."
3998,"Yeah, I'd listen to her. He'll shoot just to see the fireworks. Hand them over. Come on. Hey. Come on down, give me your guns. Everybody lives. Nice and easy."
3999,"He'll shoot just to see the fireworks. Hand them over. Come on. Hey. Come on down, give me your guns. Everybody lives. Nice and easy. Right over here. A little further, please."
4000,"Hand them over. Come on. Hey. Come on down, give me your guns. Everybody lives. Nice and easy. Right over here. A little further, please. Much obliged."
4001,"Come on. Hey. Come on down, give me your guns. Everybody lives. Nice and easy. Right over here. A little further, please. Much obliged. Here you go."
4002,"Hey. Come on down, give me your guns. Everybody lives. Nice and easy. Right over here. A little further, please. Much obliged. Here you go. That's for lying."
4003,"Nice and easy. Right over here. A little further, please. Much obliged. Here you go. That's for lying. Stop!"
4004,"Right over here. A little further, please. Much obliged. Here you go. That's for lying. Stop! And that was for ""halfwit."""
4005,"Much obliged. Here you go. That's for lying. Stop! And that was for ""halfwit."" And this..."
4006,"Here you go. That's for lying. Stop! And that was for ""halfwit."" And this... No!"
4007,"That's for lying. Stop! And that was for ""halfwit."" And this... No! Stop! Please!"
4008,"Stop! And that was for ""halfwit."" And this... No! Stop! Please! Whoo!"
4009,"And that was for ""halfwit."" And this... No! Stop! Please! Whoo! That's the spirit!"
4010,And this... No! Stop! Please! Whoo! That's the spirit! I knew you would get into this place.
4011,No! Stop! Please! Whoo! That's the spirit! I knew you would get into this place. Yes!
4012,Stop! Please! Whoo! That's the spirit! I knew you would get into this place. Yes! Yup.
4013,Whoo! That's the spirit! I knew you would get into this place. Yes! Yup. Not bad for a day's work.
4014,That's the spirit! I knew you would get into this place. Yes! Yup. Not bad for a day's work. Vámonos.
4015,I knew you would get into this place. Yes! Yup. Not bad for a day's work. Vámonos. We told them everyone would live.
4016,"Yes! Yup. Not bad for a day's work. Vámonos. We told them everyone would live. Guys, looks like Slim didn't make it."
4017,"Yup. Not bad for a day's work. Vámonos. We told them everyone would live. Guys, looks like Slim didn't make it. Whoa."
4018,"Not bad for a day's work. Vámonos. We told them everyone would live. Guys, looks like Slim didn't make it. Whoa. They put up a fight."
4019,"Vámonos. We told them everyone would live. Guys, looks like Slim didn't make it. Whoa. They put up a fight. We made them pay for it, though."
4020,"We told them everyone would live. Guys, looks like Slim didn't make it. Whoa. They put up a fight. We made them pay for it, though. Price of doing business. Slim knew that."
4021,"Guys, looks like Slim didn't make it. Whoa. They put up a fight. We made them pay for it, though. Price of doing business. Slim knew that. Had my doubts, El Lazo."
4022,"Whoa. They put up a fight. We made them pay for it, though. Price of doing business. Slim knew that. Had my doubts, El Lazo. But you came through."
4023,"They put up a fight. We made them pay for it, though. Price of doing business. Slim knew that. Had my doubts, El Lazo. But you came through. We're gonna blow these cactus-eaters back to the dirt holes they crawled from."
4024,"We made them pay for it, though. Price of doing business. Slim knew that. Had my doubts, El Lazo. But you came through. We're gonna blow these cactus-eaters back to the dirt holes they crawled from. Let's get it down to the station."
4025,"Price of doing business. Slim knew that. Had my doubts, El Lazo. But you came through. We're gonna blow these cactus-eaters back to the dirt holes they crawled from. Let's get it down to the station. No time to waste."
4026,"Had my doubts, El Lazo. But you came through. We're gonna blow these cactus-eaters back to the dirt holes they crawled from. Let's get it down to the station. No time to waste. If I may, Captain,"
4027,"But you came through. We're gonna blow these cactus-eaters back to the dirt holes they crawled from. Let's get it down to the station. No time to waste. If I may, Captain, your men are weary, with a long road ahead."
4028,"We're gonna blow these cactus-eaters back to the dirt holes they crawled from. Let's get it down to the station. No time to waste. If I may, Captain, your men are weary, with a long road ahead. You have secured a great victory for your cause today."
4029,"Let's get it down to the station. No time to waste. If I may, Captain, your men are weary, with a long road ahead. You have secured a great victory for your cause today. Perhaps an evening of celebration is in order."
4030,"No time to waste. If I may, Captain, your men are weary, with a long road ahead. You have secured a great victory for your cause today. Perhaps an evening of celebration is in order. Anything you desire."
4031,"If I may, Captain, your men are weary, with a long road ahead. You have secured a great victory for your cause today. Perhaps an evening of celebration is in order. Anything you desire. What do you say, Captain?"
4032,"your men are weary, with a long road ahead. You have secured a great victory for your cause today. Perhaps an evening of celebration is in order. Anything you desire. What do you say, Captain? There's another train in the morning."
4033,"You have secured a great victory for your cause today. Perhaps an evening of celebration is in order. Anything you desire. What do you say, Captain? There's another train in the morning. You will be a true asset to our ranks."
4034,"Perhaps an evening of celebration is in order. Anything you desire. What do you say, Captain? There's another train in the morning. You will be a true asset to our ranks. All right, Bart. Let's try this again."
4035,"Anything you desire. What do you say, Captain? There's another train in the morning. You will be a true asset to our ranks. All right, Bart. Let's try this again. God damn it, man."
4036,"What do you say, Captain? There's another train in the morning. You will be a true asset to our ranks. All right, Bart. Let's try this again. God damn it, man. You're still miscalibrating by four centimeters to the right."
4037,"There's another train in the morning. You will be a true asset to our ranks. All right, Bart. Let's try this again. God damn it, man. You're still miscalibrating by four centimeters to the right. You keep pouring whiskey on the guests,"
4038,"You will be a true asset to our ranks. All right, Bart. Let's try this again. God damn it, man. You're still miscalibrating by four centimeters to the right. You keep pouring whiskey on the guests, I'm gonna have to reassign you to a narrative"
4039,"All right, Bart. Let's try this again. God damn it, man. You're still miscalibrating by four centimeters to the right. You keep pouring whiskey on the guests, I'm gonna have to reassign you to a narrative where your talents will go tragically unappreciated."
4040,"God damn it, man. You're still miscalibrating by four centimeters to the right. You keep pouring whiskey on the guests, I'm gonna have to reassign you to a narrative where your talents will go tragically unappreciated. Hey, that's the host that tried to kill me."
4041,"You're still miscalibrating by four centimeters to the right. You keep pouring whiskey on the guests, I'm gonna have to reassign you to a narrative where your talents will go tragically unappreciated. Hey, that's the host that tried to kill me. - Where are you taking that? - Livestock."
4042,"You keep pouring whiskey on the guests, I'm gonna have to reassign you to a narrative where your talents will go tragically unappreciated. Hey, that's the host that tried to kill me. - Where are you taking that? - Livestock. And then the incinerator."
4043,"I'm gonna have to reassign you to a narrative where your talents will go tragically unappreciated. Hey, that's the host that tried to kill me. - Where are you taking that? - Livestock. And then the incinerator. Fuck this."
4044,"where your talents will go tragically unappreciated. Hey, that's the host that tried to kill me. - Where are you taking that? - Livestock. And then the incinerator. Fuck this. Fuck."
4045,"Hey, that's the host that tried to kill me. - Where are you taking that? - Livestock. And then the incinerator. Fuck this. Fuck. Isn't she from Behavior?"
4046,- Where are you taking that? - Livestock. And then the incinerator. Fuck this. Fuck. Isn't she from Behavior? You think they found something?
4047,"And then the incinerator. Fuck this. Fuck. Isn't she from Behavior? You think they found something? - All right. Be cool, dickhead. - Okay."
4048,"Fuck this. Fuck. Isn't she from Behavior? You think they found something? - All right. Be cool, dickhead. - Okay. No one's looking at us."
4049,"Fuck. Isn't she from Behavior? You think they found something? - All right. Be cool, dickhead. - Okay. No one's looking at us. Hi."
4050,"Isn't she from Behavior? You think they found something? - All right. Be cool, dickhead. - Okay. No one's looking at us. Hi. You're Destin, right?"
4051,"You think they found something? - All right. Be cool, dickhead. - Okay. No one's looking at us. Hi. You're Destin, right? That's correct."
4052,"- All right. Be cool, dickhead. - Okay. No one's looking at us. Hi. You're Destin, right? That's correct. I almost didn't recognize you with your pants on. Here."
4053,"No one's looking at us. Hi. You're Destin, right? That's correct. I almost didn't recognize you with your pants on. Here. What the fuck?"
4054,"Hi. You're Destin, right? That's correct. I almost didn't recognize you with your pants on. Here. What the fuck? There's a common misconception that the hosts don't log sexual encounters"
4055,"You're Destin, right? That's correct. I almost didn't recognize you with your pants on. Here. What the fuck? There's a common misconception that the hosts don't log sexual encounters when they're underground for reprocessing."
4056,"That's correct. I almost didn't recognize you with your pants on. Here. What the fuck? There's a common misconception that the hosts don't log sexual encounters when they're underground for reprocessing. But, like I said, misconception."
4057,"I almost didn't recognize you with your pants on. Here. What the fuck? There's a common misconception that the hosts don't log sexual encounters when they're underground for reprocessing. But, like I said, misconception. Oh, fuck."
4058,"What the fuck? There's a common misconception that the hosts don't log sexual encounters when they're underground for reprocessing. But, like I said, misconception. Oh, fuck. I need something."
4059,"There's a common misconception that the hosts don't log sexual encounters when they're underground for reprocessing. But, like I said, misconception. Oh, fuck. I need something. QA sent a body down here, the woodcutter from Sector 14."
4060,"when they're underground for reprocessing. But, like I said, misconception. Oh, fuck. I need something. QA sent a body down here, the woodcutter from Sector 14. - I want to see it. - No."
4061,"But, like I said, misconception. Oh, fuck. I need something. QA sent a body down here, the woodcutter from Sector 14. - I want to see it. - No. I can't."
4062,"Oh, fuck. I need something. QA sent a body down here, the woodcutter from Sector 14. - I want to see it. - No. I can't. I need this job."
4063,"I need something. QA sent a body down here, the woodcutter from Sector 14. - I want to see it. - No. I can't. I need this job. Look, Destin,"
4064,"QA sent a body down here, the woodcutter from Sector 14. - I want to see it. - No. I can't. I need this job. Look, Destin, in a second, I'm gonna walk out of here,"
4065,"- I want to see it. - No. I can't. I need this job. Look, Destin, in a second, I'm gonna walk out of here, and your friends are going to wonder what this was all about."
4066,"I can't. I need this job. Look, Destin, in a second, I'm gonna walk out of here, and your friends are going to wonder what this was all about. Now, your answer can either be, ""I'm helping Behavior track a problem,"""
4067,"I need this job. Look, Destin, in a second, I'm gonna walk out of here, and your friends are going to wonder what this was all about. Now, your answer can either be, ""I'm helping Behavior track a problem,"" or, ""I'm a creepy necro-perv."""
4068,"Look, Destin, in a second, I'm gonna walk out of here, and your friends are going to wonder what this was all about. Now, your answer can either be, ""I'm helping Behavior track a problem,"" or, ""I'm a creepy necro-perv."" Up to you."
4069,"in a second, I'm gonna walk out of here, and your friends are going to wonder what this was all about. Now, your answer can either be, ""I'm helping Behavior track a problem,"" or, ""I'm a creepy necro-perv."" Up to you. Five minutes, then it's going in the incinerator."
4070,"and your friends are going to wonder what this was all about. Now, your answer can either be, ""I'm helping Behavior track a problem,"" or, ""I'm a creepy necro-perv."" Up to you. Five minutes, then it's going in the incinerator. Huh. You took a little more time than that for your examination, didn't you?"
4071,"Now, your answer can either be, ""I'm helping Behavior track a problem,"" or, ""I'm a creepy necro-perv."" Up to you. Five minutes, then it's going in the incinerator. Huh. You took a little more time than that for your examination, didn't you? All right, big guy."
4072,"or, ""I'm a creepy necro-perv."" Up to you. Five minutes, then it's going in the incinerator. Huh. You took a little more time than that for your examination, didn't you? All right, big guy. What were you doing up there?"
4073,"Up to you. Five minutes, then it's going in the incinerator. Huh. You took a little more time than that for your examination, didn't you? All right, big guy. What were you doing up there? What the fuck?"
4074,"Five minutes, then it's going in the incinerator. Huh. You took a little more time than that for your examination, didn't you? All right, big guy. What were you doing up there? What the fuck? You've been holding out on me, Maurice."
4075,"Huh. You took a little more time than that for your examination, didn't you? All right, big guy. What were you doing up there? What the fuck? You've been holding out on me, Maurice. Oh, shit."
4076,"All right, big guy. What were you doing up there? What the fuck? You've been holding out on me, Maurice. Oh, shit. We've got a big problem."
4077,"What were you doing up there? What the fuck? You've been holding out on me, Maurice. Oh, shit. We've got a big problem. Turns out our big, dumb friend had some hidden depths."
4078,"What the fuck? You've been holding out on me, Maurice. Oh, shit. We've got a big problem. Turns out our big, dumb friend had some hidden depths. That is a laser-based satellite uplink."
4079,"You've been holding out on me, Maurice. Oh, shit. We've got a big problem. Turns out our big, dumb friend had some hidden depths. That is a laser-based satellite uplink. This was in the body of the host?"
4080,"Oh, shit. We've got a big problem. Turns out our big, dumb friend had some hidden depths. That is a laser-based satellite uplink. This was in the body of the host? Mmm-hmm. You were right. Orion's Belt has three stars, not four."
4081,"We've got a big problem. Turns out our big, dumb friend had some hidden depths. That is a laser-based satellite uplink. This was in the body of the host? Mmm-hmm. You were right. Orion's Belt has three stars, not four. Our friend wasn't drawing stars. He was drawing a target."
4082,"Turns out our big, dumb friend had some hidden depths. That is a laser-based satellite uplink. This was in the body of the host? Mmm-hmm. You were right. Orion's Belt has three stars, not four. Our friend wasn't drawing stars. He was drawing a target. Someone has been using our host to smuggle data out of the park."
4083,"That is a laser-based satellite uplink. This was in the body of the host? Mmm-hmm. You were right. Orion's Belt has three stars, not four. Our friend wasn't drawing stars. He was drawing a target. Someone has been using our host to smuggle data out of the park. Now this... This I could get used to."
4084,"This was in the body of the host? Mmm-hmm. You were right. Orion's Belt has three stars, not four. Our friend wasn't drawing stars. He was drawing a target. Someone has been using our host to smuggle data out of the park. Now this... This I could get used to. You're not going to indulge?"
4085,"Mmm-hmm. You were right. Orion's Belt has three stars, not four. Our friend wasn't drawing stars. He was drawing a target. Someone has been using our host to smuggle data out of the park. Now this... This I could get used to. You're not going to indulge? My flesh has tasted a greater pleasure than any offered here."
4086,Our friend wasn't drawing stars. He was drawing a target. Someone has been using our host to smuggle data out of the park. Now this... This I could get used to. You're not going to indulge? My flesh has tasted a greater pleasure than any offered here. War.
4087,"Someone has been using our host to smuggle data out of the park. Now this... This I could get used to. You're not going to indulge? My flesh has tasted a greater pleasure than any offered here. War. It's that good, huh?"
4088,"Now this... This I could get used to. You're not going to indulge? My flesh has tasted a greater pleasure than any offered here. War. It's that good, huh? Another round? On the house."
4089,"You're not going to indulge? My flesh has tasted a greater pleasure than any offered here. War. It's that good, huh? Another round? On the house. There's a place in glory for a brown man who knows his rank."
4090,"My flesh has tasted a greater pleasure than any offered here. War. It's that good, huh? Another round? On the house. There's a place in glory for a brown man who knows his rank. You're two able-bodied men of strong stock."
4091,"War. It's that good, huh? Another round? On the house. There's a place in glory for a brown man who knows his rank. You're two able-bodied men of strong stock. The road to glory could use more warriors in its fight for our divine provenance."
4092,"It's that good, huh? Another round? On the house. There's a place in glory for a brown man who knows his rank. You're two able-bodied men of strong stock. The road to glory could use more warriors in its fight for our divine provenance. That is just what we were thinking."
4093,"Another round? On the house. There's a place in glory for a brown man who knows his rank. You're two able-bodied men of strong stock. The road to glory could use more warriors in its fight for our divine provenance. That is just what we were thinking. Come here, come here."
4094,"There's a place in glory for a brown man who knows his rank. You're two able-bodied men of strong stock. The road to glory could use more warriors in its fight for our divine provenance. That is just what we were thinking. Come here, come here. I know you want to play the war game,"
4095,"You're two able-bodied men of strong stock. The road to glory could use more warriors in its fight for our divine provenance. That is just what we were thinking. Come here, come here. I know you want to play the war game, but I'm not going anywhere with these psychopaths."
4096,"The road to glory could use more warriors in its fight for our divine provenance. That is just what we were thinking. Come here, come here. I know you want to play the war game, but I'm not going anywhere with these psychopaths. If you don't like 'em, once we get to the front,"
4097,"That is just what we were thinking. Come here, come here. I know you want to play the war game, but I'm not going anywhere with these psychopaths. If you don't like 'em, once we get to the front, you can just kill them and join the revolutionaries."
4098,"Come here, come here. I know you want to play the war game, but I'm not going anywhere with these psychopaths. If you don't like 'em, once we get to the front, you can just kill them and join the revolutionaries. No, Logan. Enough is enough. I'm not doing this."
4099,"I know you want to play the war game, but I'm not going anywhere with these psychopaths. If you don't like 'em, once we get to the front, you can just kill them and join the revolutionaries. No, Logan. Enough is enough. I'm not doing this. You actually let loose for once, you shoot an unarmed man,"
4100,"but I'm not going anywhere with these psychopaths. If you don't like 'em, once we get to the front, you can just kill them and join the revolutionaries. No, Logan. Enough is enough. I'm not doing this. You actually let loose for once, you shoot an unarmed man, and now you feel bad because you can't call yourself the hero."
4101,"If you don't like 'em, once we get to the front, you can just kill them and join the revolutionaries. No, Logan. Enough is enough. I'm not doing this. You actually let loose for once, you shoot an unarmed man, and now you feel bad because you can't call yourself the hero. Don't you get it yet?"
4102,"you can just kill them and join the revolutionaries. No, Logan. Enough is enough. I'm not doing this. You actually let loose for once, you shoot an unarmed man, and now you feel bad because you can't call yourself the hero. Don't you get it yet? There is no such thing as heroes or villains."
4103,"No, Logan. Enough is enough. I'm not doing this. You actually let loose for once, you shoot an unarmed man, and now you feel bad because you can't call yourself the hero. Don't you get it yet? There is no such thing as heroes or villains. It's just a giant circle jerk."
4104,"You actually let loose for once, you shoot an unarmed man, and now you feel bad because you can't call yourself the hero. Don't you get it yet? There is no such thing as heroes or villains. It's just a giant circle jerk. I think that philosophy says way more about you than it does about the world."
4105,"and now you feel bad because you can't call yourself the hero. Don't you get it yet? There is no such thing as heroes or villains. It's just a giant circle jerk. I think that philosophy says way more about you than it does about the world. And you, you see the world so clearly?"
4106,"Don't you get it yet? There is no such thing as heroes or villains. It's just a giant circle jerk. I think that philosophy says way more about you than it does about the world. And you, you see the world so clearly? You probably think you're on this trip because you're some kind of contender,"
4107,"There is no such thing as heroes or villains. It's just a giant circle jerk. I think that philosophy says way more about you than it does about the world. And you, you see the world so clearly? You probably think you're on this trip because you're some kind of contender, some threat to me?"
4108,"It's just a giant circle jerk. I think that philosophy says way more about you than it does about the world. And you, you see the world so clearly? You probably think you're on this trip because you're some kind of contender, some threat to me? I picked you precisely because you will never be a threat to anyone."
4109,"I think that philosophy says way more about you than it does about the world. And you, you see the world so clearly? You probably think you're on this trip because you're some kind of contender, some threat to me? I picked you precisely because you will never be a threat to anyone. My sister probably picked you for the same reason."
4110,"And you, you see the world so clearly? You probably think you're on this trip because you're some kind of contender, some threat to me? I picked you precisely because you will never be a threat to anyone. My sister probably picked you for the same reason. I earned my place. Nobody handed it to me."
4111,"You probably think you're on this trip because you're some kind of contender, some threat to me? I picked you precisely because you will never be a threat to anyone. My sister probably picked you for the same reason. I earned my place. Nobody handed it to me. Right. A lifetime of working hard, following the rules,"
4112,"some threat to me? I picked you precisely because you will never be a threat to anyone. My sister probably picked you for the same reason. I earned my place. Nobody handed it to me. Right. A lifetime of working hard, following the rules, and you finally reach the pinnacle of your career trajectory..."
4113,"I picked you precisely because you will never be a threat to anyone. My sister probably picked you for the same reason. I earned my place. Nobody handed it to me. Right. A lifetime of working hard, following the rules, and you finally reach the pinnacle of your career trajectory... Executive Vice President."
4114,"My sister probably picked you for the same reason. I earned my place. Nobody handed it to me. Right. A lifetime of working hard, following the rules, and you finally reach the pinnacle of your career trajectory... Executive Vice President. Upper middle management."
4115,"I earned my place. Nobody handed it to me. Right. A lifetime of working hard, following the rules, and you finally reach the pinnacle of your career trajectory... Executive Vice President. Upper middle management. Do you remember the day that you finally got those three fancy little letters?"
4116,"Right. A lifetime of working hard, following the rules, and you finally reach the pinnacle of your career trajectory... Executive Vice President. Upper middle management. Do you remember the day that you finally got those three fancy little letters? EVP."
4117,"and you finally reach the pinnacle of your career trajectory... Executive Vice President. Upper middle management. Do you remember the day that you finally got those three fancy little letters? EVP. You walked into my office in that cheap black suit of yours,"
4118,"Executive Vice President. Upper middle management. Do you remember the day that you finally got those three fancy little letters? EVP. You walked into my office in that cheap black suit of yours, and you shook my hand and you thanked me for the opportunity."
4119,"Upper middle management. Do you remember the day that you finally got those three fancy little letters? EVP. You walked into my office in that cheap black suit of yours, and you shook my hand and you thanked me for the opportunity. That was the best day of your life."
4120,"Do you remember the day that you finally got those three fancy little letters? EVP. You walked into my office in that cheap black suit of yours, and you shook my hand and you thanked me for the opportunity. That was the best day of your life. Right, buddy."
4121,"EVP. You walked into my office in that cheap black suit of yours, and you shook my hand and you thanked me for the opportunity. That was the best day of your life. Right, buddy. That's what I thought."
4122,"You walked into my office in that cheap black suit of yours, and you shook my hand and you thanked me for the opportunity. That was the best day of your life. Right, buddy. That's what I thought. What does it mean?"
4123,"and you shook my hand and you thanked me for the opportunity. That was the best day of your life. Right, buddy. That's what I thought. What does it mean? The maze."
4124,"That was the best day of your life. Right, buddy. That's what I thought. What does it mean? The maze. You must follow the maze."
4125,"Right, buddy. That's what I thought. What does it mean? The maze. You must follow the maze. What's wrong with me?"
4126,"That's what I thought. What does it mean? The maze. You must follow the maze. What's wrong with me? Perhaps, you are unraveling."
4127,"What does it mean? The maze. You must follow the maze. What's wrong with me? Perhaps, you are unraveling. Right here."
4128,"The maze. You must follow the maze. What's wrong with me? Perhaps, you are unraveling. Right here. Easy pumping that nitro into him."
4129,"You must follow the maze. What's wrong with me? Perhaps, you are unraveling. Right here. Easy pumping that nitro into him. Fill the empties with tequila and seal them up."
4130,"What's wrong with me? Perhaps, you are unraveling. Right here. Easy pumping that nitro into him. Fill the empties with tequila and seal them up. Your work for the revolution is not quite done yet, my friend."
4131,"Perhaps, you are unraveling. Right here. Easy pumping that nitro into him. Fill the empties with tequila and seal them up. Your work for the revolution is not quite done yet, my friend. Careful."
4132,"Right here. Easy pumping that nitro into him. Fill the empties with tequila and seal them up. Your work for the revolution is not quite done yet, my friend. Careful. Slim always had a bad temper."
