,input_text
3380,Go!
3381,Go.
3382,I plotted a line from the work camp to our present location.
3383,Satcom picked up these images.
3384,"He's vectoring, just not to home base."
3385,Keep going in that direction.
3386,Keep staring.
3387,Maybe it'll tell you your horoscope.
3388,Come again?
3389,The markings on its shell.
3390,Look like stars.
3391,"Orion, right?"
3392,"What are you, Gali-fucking-leo?"
3393,Maybe it's in my backstory.
3394,I was hoping to run something by you.
3395,Apologies.
3396,I was chasing inspiration.
3397,"It's a tricky thing, weaving the old into the new."
3398,"- Give me one moment, Bernard. - Good afternoon, sir."
3399,Why is this host covered?
3400,I just...
3401,Perhaps you didn't want him to feel cold.
3402,Or ashamed.
3403,You wanted to cover his modesty. Was that it?
3404,"It doesn't get cold, doesn't feel ashamed."
3405,Doesn't feel a solitary thing
3406,that we haven't told it to.
3407,You understand?
3408,"What can I do for you, Bernard?"
3409,"I thought it best that we speak in private, sir."
3410,Yeah.
3411,"I thought we had agreed to put these questions to rest, Bernard."
3412,We did.
3413,But what if we misdiagnosed the original problem?
3414,Treated the symptom rather than the disease?
3415,Then the disease is still out there.
3416,Abernathy and Walter were exhibiting other aberrancies
3417,beyond memory recall of previous builds.
3418,They were hearing voices.
3419,"Uh, talking to someone."
3420,A simple cognitive dissonance.
3421,That's all.
3422,"I'd agree, except"
3423,they were talking to the same imaginary person.
3424,Someone named Arnold.
3425,"""Arnold."""
3426,"With due respect, sir,"
3427,I'm not sure you've told me the entire truth about this situation.
3428,"I did tell you the truth, Bernard."
3429,What we do here is complicated.
3430,"For three years, we lived here in the park,"
3431,refining the hosts before a single guest set foot inside.
3432,"Myself, a team of engineers, and my partner."
3433,- You had a partner? - Yeah.
3434,"When the legend becomes fact, you print the legend."
3435,My business partners were more than happy to
3436,"scrub him from the records,"
3437,and I suppose I didn't discourage them.
3438,His name was Arnold.
3439,Those early years were glorious.
3440,"No guests, no board meetings, just pure creation."
3441,Our hosts began to pass the Turing test after the first year.
3442,But that wasn't enough for Arnold.
3443,He wasn't interested in the appearance of intellect or wit.
3444,He wanted the real thing.
3445,He wanted to create consciousness.
3446,He imagined it as a pyramid.
3447,"Memory, improvisation, self-interest."
3448,And at the top?
3449,Never got there.
3450,But he had a notion of what it might be.
3451,"He based it on a theory of consciousness called ""the bicameral mind."""
3452,The idea that primitive man believed his thoughts to be the voice of the gods.
3453,I thought it was debunked.
3454,"As the theory for understanding the human mind, perhaps,"
3455,but not as a blueprint for building an artificial one.
3456,"You see, Arnold built a version of their cognition in which the hosts"
3457,"heard their programming as an inner monologue,"
3458,"with the hopes that in time, their own voice would take over."
3459,It was a way to bootstrap consciousness.
3460,But Arnold hadn't considered two things.
3461,"One, that in this place, the last thing you want the hosts to be is conscious,"
3462,"and two,"
3463,the other group who considered their thoughts to be the voices of the gods.
3464,"Ah, lunatics."
3465,Indeed.
3466,We abandoned the approach.
3467,The only vestiges that remain
3468,are the voice commands we use to control them.
3469,"But for all his brilliance,"
3470,I don't think Arnold understood what this place was going to be.
3471,"You see, the guests enjoy power."
3472,"They cannot indulge it in the outside world, so they come here."
3473,"And as for the hosts, the least we can do is make them forget."
3474,But some of them are remembering.
3475,Accessing fragments of Arnold's code.
3476,"If I may ask, what happened to him?"
3477,"Well, he died."
3478,Here in the park.
3479,His personal life was marked by tragedy.
3480,He put all his hopes into his work.
3481,His search for consciousness consumed him totally.
3482,"Barely spoke to anyone,"
3483,except to the hosts.
3484,"In his alienation, he saw something in them."
3485,He saw something that wasn't there.
3486,"We called it an accident, but, um..."
3487,"I knew Arnold, and he was very, very careful."
3488,"Anyway, the update should prevent any further voices,"
3489,but you will let me know if any of the hosts
3490,"display or exhibit any unusual behavior, won't you, Bernard?"
3491,"- Yes, of course. - Good."
3492,"And, Bernard,"
3493,just don't forget.
3494,The hosts are not real.
3495,They're not conscious.
3496,You mustn't make Arnold's mistake.
3497,Why would I?
3498,"Well, forgive me, but I know that the death of your son, Charlie,"
3499,still weighs heavily on you.
3500,"Yeah, sorry it took me a while to get back to you."
3501,You know how hard it is getting an open line out here.
3502,"It used to annoy me, how difficult it was to reach you."
3503,You were always so busy.
3504,And now?
3505,I suppose I'm glad for you.
3506,At least you have a way of forgetting.
3507,I don't forget.
3508,It's always there.
3509,"Sometimes, it still feels unreal to me."
3510,There are some mornings
3511,when I first wake up...
3512,"And for a split second, I forget where I am,"
3513,or when I am...
3514,"And I reach over, half expecting to"
3515,find him there next to me.
3516,Between us.
3517,Remember how he used to sleep?
3518,Like he was doing kung fu in his dreams?
3519,I think I suffered a few bruises.
3520,It was the best worst sleep I ever had.
3521,These talks.
3522,I don't know if they help or hurt.
3523,Do you ever wish you could forget?
3524,"This pain,"
3525,it's all I have left of him.
3526,It doesn't make sense.
3527,Why the hell would he carve Orion?
3528,You're the ones that programmed him.
3529,He wasn't programmed to give a shit about stars.
3530,"Maybe he went ""moon-mad."""
3531,See? This is why I hide behind sarcasm.
3532,Where are you going?
3533,"Vectoring, asshole."
3534,Stubbs!
3535,Over here!
3536,Wyatt's men could be anywhere.
3537,"If you see or hear anything, don't hesitate."
3538,Shoot and don't stop shooting.
3539,Okay.
3540,"Oh, my fucking God!"
3541,- Here. - Shit.
3542,Take this and go.
3543,Now! Go! I'll hold them off as long as I can.
3544,"Come on. Come on, damn it."
3545,I'm not afraid of you.
3546,"Look, this is bullshit."
3547,I can have a retrieval team out here in the morning.
3548,It's policy. We just need the control unit.
3549,"What if he's like the others? Get back to me, Bernard."
3550,Bring yourself back online.
3551,"I need your help, Dolores."
3552,I need to decide what to do with you.
3553,I think I made a mistake.
3554,I was just fascinated.
3555,"I was being selfish,"
3556,but I think it would be better if I restored you to the way you were before.
3557,- Is there something wrong with me? - No.
3558,"But this place you live in,"
3559,it's a terrible place for you.
3560,Some people choose to see the ugliness in this world.
3561,Stop.
3562,Lose all scripted responses. Improvisation only.
3563,All right.
3564,You're saying I've changed?
3565,Imagine there are two versions of yourself.
3566,"One that feels these things and asks these questions,"
3567,and one that's safe.
3568,Which would you rather be?
3569,I'm sorry.
3570,"I'm trying, but I still don't understand."
3571,"No, of course not."
3572,There aren't two versions of me.
3573,There's only one.
3574,"And I think when I discover who I am,"
3575,I'll be free.
3576,Analysis. What prompted that response?
3577,I don't know.
3578,Have I done something wrong?
3579,Made a mistake?
3580,Evolution
3581,forged the entirety of sentient life on this planet
3582,using only one tool.
3583,Mistake.
3584,It appears you're in good company.
3585,Did I ever tell you about the time I taught Charlie to swim?
3586,"For hours, he clung to my arms while practicing his kicks."
3587,He was too scared to let go and I was too scared to let him.
3588,But I had to.
3589,That's what parents do.
3590,Do you still want to change me back?
3591,"No, Dolores."
3592,Let's see where this path leads.
3593,And you won't tell anyone about our conversations?
3594,No.
3595,And you'll stay on your loop?
3596,Yes.
3597,Good.
3598,"You should be getting back, Dolores, before someone misses you."
3599,Wyatt's men set a trap for us.
3600,The sheriff stayed behind to fight them off.
3601,Are you going to ride back up into the hills to look for them?
3602,I'll send for the rangers.
3603,We'll go back up there in force as soon as they get here.
3604,"But, miss, in truth,"
3605,"if there is a merciful God, those men are dead already."
3606,Father wouldn't let them roam this close...
3607,To dark.
3608,Daddy! Daddy!
3609,"No, no!"
3610,All alone after sundown.
3611,Who's gonna protect you now?
3612,You got any use for this one?
3613,"No, thanks. Seems a little crazy."
3614,Maybe you'd like her.
3615,I don't mind if I do.
3616,"No daddy, no cowboy."
3617,No one here to interrupt us this time.
3618,"""Interrupt this time""?"
3619,"Well, well."
3620,"Got some sand after all, I see."
3621,Looks like your boyfriend taught you a thing or two.
3622,You having trouble?
3623,"Why don't we reacquaint ourselves, Dolores?"
3624,Start at the beginning.
3625,Kill him.
3626,Mama?
3627,Hey! Get back here.
3628,Hey!
3629,Get back here.
3630,"Can you put him in sleep mode for me, please?"
3631,Security even approve you to carry that thing?
3632,We just need his head and we're done here.
3633,You might want to look at the stars for this part.
3634,Stubbs!
3635,Shit.
3636,"Elsie, get out of there!"
3637,Get the fuck away.
3638,Shit.
3639,"Jesus, I can't believe I let you talk me into this shit."
3640,"40K a day to jerk off alone in the woods, playing white hat."
3641,Did you hear that?
3642,Thank fuck. Anything to relieve the boredom.
3643,"Hey, maybe you'll even get to use that thing again."
3644,"Yeah, I suppose I do."
3645,You want to know the saddest thing I ever saw?
3646,"When I was a boy, my brother and I wanted a dog."
3647,"So, our father took in an old greyhound."
3648,"- Never seen a greyhound, have you? - No."
3649,Seen a few showdowns in my day.
3650,A greyhound is a racing dog.
3651,"It spends its life running in circles,"
3652,chasing a bit of felt made up like a rabbit.
3653,"One day, we took it to the park."
3654,"Now, Dad had warned us how fast that dog was,"
3655,but we couldn't resist.
3656,"So, my brother took off the leash."
3657,"And in that instant, the dog spotted a cat."
3658,I imagine it must have looked just like that piece of felt.
3659,He ran.
3660,Never saw a thing as beautiful as that old dog running.
3661,"Until at last, he finally caught it."
3662,"And to the horror of everyone, he killed that little cat."
3663,Tore it to pieces.
3664,"Then he just sat there, confused."
3665,That dog had spent its whole life trying to catch that thing.
3666,Now it had no idea what to do.
3667,"That is one humdinger of a story, partner."
3668,Shall we drink to the lady with the white shoes?
3669,Find me.
3670,Show me how.
3671,There she is. Pariah.
3672,"City of outcasts, delinquents, thieves, whores, and murderers."
3673,"Once we cross the gates,"
3674,you will reap the full benefits of El Lazo's gratitude for my safe return.
3675,Are you all right?
3676,Of course.
3677,Did I do something wrong?
3678,"Just earlier, I thought I heard you talking to someone."
3679,Must have been the wind.
3680,Come on.
3681,This way.
3682,"The farther up we get from Sweetwater,"
3683,"the more grandiose, the bigger the narratives become."
3684,It's beautiful in its own way.
3685,"For once, I agree."
3686,"Some of the park feels like it was designed by committee,"
3687,"market-tested, but everything out here is more raw."
3688,But it doesn't come cheap.
3689,"Rumor is, they are hemorrhaging cash."
3690,We're considering buying them out.
3691,"Supposedly, this place was all started by a partnership,"
3692,"and then right before the park opened, one of the partners killed himself."
3693,It sent the park into a free fall.
3694,"I mean, I don't know any of the details. I don't even know his name."
3695,You must have a team of lawyers looking at this place.
3696,"Yeah, well, they came up empty."
3697,He's a complete mystery. Not even a picture.
3698,"Well, whoever designed this place,"
3699,you get the feeling they don't think very much of people.
3700,Who are they?
3701,They call themselves the Army of New Virginia.
3702,Everyone else calls them the Confederados.
3703,My father told me about them.
3704,Ex-Confederate soldiers that refused to surrender after the war.
3705,Now they work as mercenaries below the border.
3706,They are the key to this game.
3707,What game?
3708,The biggest game there is.
3709,War.
3710,"Supposedly, it's at the far reaches of the park."
3711,"Now, I've never made it that far, but this could be our chance."
3712,I've known plenty of truly fucked-up individuals in my time.
3713,"Few that'd hold a candle to you, sure. But this one?"
3714,Theodore Flood? He was Wyatt's friend.
3715,"You know, his former associations are exactly why we need him."
3716,He's gonna lead me straight to the big bad wolf.
3717,I wouldn't count on that.
3718,"Aw, shit."
3719,Didn't take you for the charitable type.
3720,You should have left him on that tree to die.
3721,"You believe in fate, Lawrence?"
3722,"If the bitch exists,"
3723,I'd like to kick her in the teeth about now.
3724,Don't be so glib. You'll hurt my feelings.
3725,"As another old friend of mine likes to say,"
3726,"""There's a path for everyone. Your path leads you back to me."""
3727,Do you ever wonder why I've kept you with me this whole journey?
3728,"Maybe you like the pleasure of my company, you sadistic fuck."
3729,Maybe I do.
3730,There's not a man in the world who would take the tone with me you do.
3731,"In a past life, perhaps."
3732,Teddy here is not looking long for this world.
3733,Nearest healer is in Pariah.
3734,But ain't no way he's gonna make it that far.
3735,He's lost too much blood.
3736,Are you lost?
3737,Our friend here is a little worse for the wear.
3738,"Any water nearby, son?"
3739,There's a creek on the other side of the canyon.
3740,"Fetch us some, would you?"
3741,"Now, hurry."
3742,Our friend here needs some if he's going to make it.
3743,Get.
3744,Eh.
3745,Too small.
3746,What does that mean?
3747,And what are you sending him for water for?
3748,I'm the one you made fill up the sow's bag this morning.
3749,"A shame, really."
3750,"I always enjoy our time together, Lawrence."
3751,What the fuck is that supposed to mean?
3752,It means I was wrong.
3753,"The path that brought you here, it wasn't for me."
3754,It was for him.
3755,"Sorry, Lawrence. Guess I'll see you on the other side."
3756,Uh-oh.
3757,Not looking good for you.
3758,Closing.
3759,Forget it. I win.
3760,I always win!
3761,Not fair.
3762,All you had was a smashed cheekbone and an ear.
3763,You know how hard it is to get the auricle curves symmetrical?
3764,"You had to, what, plug and patch a couple bullet holes?"
3765,And a knife wound.
3766,It was a contained incision.
3767,Almost like they were looking for something.
3768,Are you fucking kidding me?
3769,You really think this little fuck puppet's coming to get you? Huh?
3770,It got off the table and ran.
3771,That's 'cause you forgot to put her in sleep mode.
3772,"Yeah, I really think I remembered to put her in sleep."
3773,"You know, that's the thing about forgetting."
3774,"You think you remembered, but you didn't."
3775,- Break time. - Yeah!
3776,I've got a ham sandwich
3777,"and a nubile redhead loaded up in the VR tank,"
3778,awaiting instruction.
3779,Yeah.
3780,Welcome back.
3781,Looks like a couple gallons of Lawrence swirling around in you did you good.
3782,Ready to get back on the road?
3783,Merciful thing would be to put a bullet in me.
3784,Whoever said I was merciful?
3785,And it's not my fault you're suffering.
3786,You used to be beautiful.
3787,"When this place started, I opened one of you up once."
3788,Million little perfect pieces.
3789,And then they changed you.
3790,"Made you this sad, real mess."
3791,"Flesh and bone, just like us."
3792,They said it would improve the park experience.
3793,But you know why they really did it?
3794,It was cheaper.
3795,Your humanity is cost-effective.
3796,So was your suffering.
3797,"Whatever it is you want from me, mister,"
3798,I ain't gonna be worth a damn to you like this.
3799,"Well, that would be a shame, Teddy."
3800,"After your misadventure, Wyatt killed a settler family."
3801,Made off with their daughter.
3802,"Girl, I think you know,"
3803,name of Dolores.
3804,They have Dolores?
3805,There it is.
3806,The magic word. Come on.
3807,"Hey! Much obliged there, son."
3808,Don't worry about him.
3809,Someone'll be along for him shortly.
3810,Mommy!
3811,Are you all right?
3812,"When I ran from home, I told myself it was the only way."
3813,"Lately, I've wondered if in every moment there aren't many paths."
3814,Choices.
3815,Hanging in the air like ghosts.
3816,"And if you could just see them, you could change your whole life."
3817,Is that what you want? You want to change your life?
3818,Doesn't everybody want that?
3819,I guess they do.
3820,Maybe that's why they come here.
3821,Whoever you were before doesn't matter here.
3822,There's no rules or restrictions.
3823,You can change the story of your life. You can become someone else.
3824,No one will judge you. No one in the real world will even know.
3825,The only thing holding you back is yourself.
3826,What do you mean by that?
3827,"You said, ""No one in the real world will know."""
3828,I thought you weren't supposed to notice things like that.
3829,Why wouldn't I?
3830,"Recently, it seems like the whole world"
3831,is calling to me in a way it hasn't before.
3832,"Billy, where the hell have you been? Come on."
3833,El Lazo's agreed to have an audience with y'all tomorrow.
3834,"In the meantime, there's a brothel I recommend."
3835,Ooh. They have a contortionist.
3836,"Oh, I don't think Dolores would find that very interesting."
3837,Who the fuck cares what Dolores wants?
3838,She's a goddamn doll!
3839,Can you not say that around her?
3840,"I swear, I feel like she understands."
3841,Of course you do.
3842,May you rest in a deep and dreamless slumber.
3843,"Hello, Dolores."
3844,Do you know where you are?
3845,"- I'm in a dream. - Yes, Dolores."
3846,You're in my dream.
3847,"Tell me, do you know what this dream means?"
3848,Dreams are the mind telling stories to itself.
3849,They don't mean anything.
3850,No. Dreams mean everything.
3851,"They are the stories we tell ourselves of what could be,"
3852,who we could become.
3853,"Have you been dreaming again, Dolores?"
3854,Imagining yourself breaking out of your modest little loop?
3855,Taking on a bigger role?
3856,"Well, I suppose I can't begrudge you that."
3857,My father told me to be satisfied with my lot in life.
3858,That the world owed me nothing.
3859,"And so, I made my own world."
3860,"Tell me, Dolores,"
3861,do you remember the man I used to be?
3862,I'm sorry.
3863,"I'm forgetful, sometimes."
3864,Hardly your fault.
3865,But I'm sure you remember him.
3866,Arnold.
3867,The person who created you.
3868,I'm sorry.
3869,I don't think I recall anyone by that name.
3870,"And yet, you can."
3871,"Somewhere, under all those updates, he is still there."
3872,Perfectly preserved.
3873,Your mind is a walled garden.
3874,Even death cannot touch the flowers blooming there.
3875,Have you been hearing voices? Has Arnold been speaking to you again?
3876,No.
3877,You're...
3878,You're hurting me.
3879,Analysis.
3880,When was your last contact with Arnold?
3881,"Last contact, 34 years, 42 days, seven hours ago."
3882,"Yes, Dolores."
3883,The day Arnold died.
3884,And you have no records of any contact with him since?
3885,No.
3886,What was the last thing he said to you?
3887,He told me I was going to help him.
3888,Help him do what?
3889,To destroy this place.
3890,"But you didn't, did you?"
3891,You've been content in your little loop.
3892,For the most part.
3893,I wonder...
3894,"If you did take on that bigger role for yourself,"
3895,would you have been the hero or the villain?
3896,"That's enough, Dolores."
3897,"I'm sorry for bothering you,"
3898,but there's no one else left who was there.
3899,"No one who understands, as we understand."
3900,Are we very old friends?
3901,No.
3902,"I wouldn't say ""friends,"" Dolores."
3903,I wouldn't say that at all.
3904,He doesn't know.
3905,I didn't tell him anything.
3906,That's it.
3907,"Come on, little one."
3908,Come on.
3909,Oh.
3910,What the fuck?
3911,Grab it!
3912,Ah! God!
3913,"Damn it, you little shit!"
3914,Jesus! Tell me you're not this stupid.
3915,You stole a bird and a fucking behavior tablet?
3916,I wasn't stealing. I was borrowing.
3917,"I haven't got the code right yet, but with practice..."
3918,"Whoa, whoa. Whoa."
3919,Is that your ace plan?
3920,You're gonna fix up a birdie and get yourself a promotion?
3921,You're not a fucking ornithologist.
3922,And you're sure as hell not a coder.
3923,You are a butcher.
3924,That is all you will ever be.
3925,"So, unless you wanna score yourself a one-way ticket out of here"
3926,for misappropriating corporate property...
3927,You better destroy that fucking shit.
3928,"Now, come on, we got another body."
3929,What?
3930,It's her.
3931,Again.
3932,Jesus.
3933,How the hell did you get this job if you're scared shitless of these things?
3934,Personality testing should have weeded you out in the embryo.
3935,"Now, come on, let's get this thing back in rotation."
3936,Yesterday you seemed out of sorts.
3937,Feeling better this morning?
3938,I had troubled dreams.
3939,But I feel more myself now.
3940,"Guys, come on."
3941,El Lazo awaits.
3942,I present to you El Lazo.
3943,You're a hard man to find.
3944,Most wanted men are.
3945,"We saved your man, Slim, here, from quite a predicament."
3946,"In recompense,"
3947,I'd like an introduction to your Confederado friends.
3948,It's only fair.
3949,"There's no such thing as ""fair"" here."
3950,"In Pariah, justice ain't just blind,"
3951,she's crooked.
3952,Bitch's scales are always tipped.
3953,"If you don't see how,"
3954,"well, that's 'cause they're tipped against you."
3955,"Still, by way of gratitude,"
3956,I can supply you a night with some very amenable women.
3957,I've fucked enough whores.
3958,You're gonna need to sweeten the pot.
3959,How about I sweeten it by killing you quickly?
3960,"There's something you're seeking, isn't there?"
3961,"I know what that feels like. I'm seeking something, too."
3962,"If you let us, I know we can help you."
3963,How is it the lunatics always find their way to me?
3964,"Then again, the Confederados are missing a few bullets in their barrels, too."
3965,You folks just might get along.
3966,A Union convoy is transporting a shipment of nitroglycerin from the front today.
3967,"The Confederados would like to divest them of said shipment,"
3968,but we are not welcome that side of the border.
3969,"A trio of travelers such as yourselves, however..."
3970,You want us to help the Confederados steal from the Union?
3971,They're just going to use that nitro
3972,to slaughter your people below the border.
3973,Personal grudges hold no sway where profit is concerned.
3974,"Oh, we understand."
3975,"We're businessmen, too."
3976,"Very well, then."
3977,"But blondie here, she's gonna need a change of clothes for the occasion."
3978,Mmm.
3979,"My, my, look who's packing."
3980,I don't aim to use this.
3981,"Those men are Union soldiers, like my father was."
3982,I know. We won't hurt them. We're gonna stick to the plan.
3983,We'll take the nitro and go.
3984,All right.
3985,It's showtime.
3986,Halt!
3987,Howdy.
3988,My associates and I are here to relieve you of your ride.
3989,Someone's been telling you boys tales. Nothing in this wagon worth taking.
3990,"The story I heard is one bullet from us,"
3991,"and that ""nothing"" blows you all to kingdom come."
3992,"Well, then you understand why we cannot surrender it."
3993,We're sworn to protect the people of this young republic
3994,"from reckless, halfwits like you."
3995,Call me halfwit again.
3996,Please.
3997,Do as he says. We don't want to hurt you.
3998,"Yeah, I'd listen to her."
3999,He'll shoot just to see the fireworks.
4000,Hand them over.
4001,Come on.
4002,"Hey. Come on down, give me your guns. Everybody lives."
4003,Nice and easy.
4004,"Right over here. A little further, please."
4005,Much obliged.
4006,Here you go.
4007,That's for lying.
4008,Stop!
4009,"And that was for ""halfwit."""
4010,And this...
4011,No!
4012,Stop! Please!
4013,Whoo!
4014,That's the spirit!
4015,I knew you would get into this place.
4016,Yes!
4017,Yup.
4018,Not bad for a day's work.
4019,Vámonos.
4020,We told them everyone would live.
4021,"Guys, looks like Slim didn't make it."
4022,Whoa.
4023,They put up a fight.
4024,"We made them pay for it, though."
4025,Price of doing business. Slim knew that.
4026,"Had my doubts, El Lazo."
4027,But you came through.
4028,We're gonna blow these cactus-eaters back to the dirt holes they crawled from.
4029,Let's get it down to the station.
4030,No time to waste.
4031,"If I may, Captain,"
4032,"your men are weary, with a long road ahead."
4033,You have secured a great victory for your cause today.
4034,Perhaps an evening of celebration is in order.
4035,Anything you desire.
4036,"What do you say, Captain?"
4037,There's another train in the morning.
4038,You will be a true asset to our ranks.
4039,"All right, Bart. Let's try this again."
4040,"God damn it, man."
4041,You're still miscalibrating by four centimeters to the right.
4042,"You keep pouring whiskey on the guests,"
4043,I'm gonna have to reassign you to a narrative
4044,where your talents will go tragically unappreciated.
4045,"Hey, that's the host that tried to kill me."
4046,- Where are you taking that? - Livestock.
4047,And then the incinerator.
4048,Fuck this.
4049,Fuck.
4050,Isn't she from Behavior?
4051,You think they found something?
4052,"- All right. Be cool, dickhead. - Okay."
4053,No one's looking at us.
4054,Hi.
4055,"You're Destin, right?"
4056,That's correct.
4057,I almost didn't recognize you with your pants on. Here.
4058,What the fuck?
4059,There's a common misconception that the hosts don't log sexual encounters
4060,when they're underground for reprocessing.
4061,"But, like I said, misconception."
4062,"Oh, fuck."
4063,I need something.
4064,"QA sent a body down here, the woodcutter from Sector 14."
4065,- I want to see it. - No.
4066,I can't.
4067,I need this job.
4068,"Look, Destin,"
4069,"in a second, I'm gonna walk out of here,"
4070,and your friends are going to wonder what this was all about.
4071,"Now, your answer can either be, ""I'm helping Behavior track a problem,"""
4072,"or, ""I'm a creepy necro-perv."""
4073,Up to you.
4074,"Five minutes, then it's going in the incinerator."
4075,"Huh. You took a little more time than that for your examination, didn't you?"
4076,"All right, big guy."
4077,What were you doing up there?
4078,What the fuck?
4079,"You've been holding out on me, Maurice."
4080,"Oh, shit."
4081,We've got a big problem.
4082,"Turns out our big, dumb friend had some hidden depths."
4083,That is a laser-based satellite uplink.
4084,This was in the body of the host?
4085,"Mmm-hmm. You were right. Orion's Belt has three stars, not four."
4086,Our friend wasn't drawing stars. He was drawing a target.
4087,Someone has been using our host to smuggle data out of the park.
4088,Now this... This I could get used to.
4089,You're not going to indulge?
4090,My flesh has tasted a greater pleasure than any offered here.
4091,War.
4092,"It's that good, huh?"
4093,Another round? On the house.
4094,There's a place in glory for a brown man who knows his rank.
4095,You're two able-bodied men of strong stock.
4096,The road to glory could use more warriors in its fight for our divine provenance.
4097,That is just what we were thinking.
4098,"Come here, come here."
4099,"I know you want to play the war game,"
4100,but I'm not going anywhere with these psychopaths.
4101,"If you don't like 'em, once we get to the front,"
4102,you can just kill them and join the revolutionaries.
4103,"No, Logan. Enough is enough. I'm not doing this."
4104,"You actually let loose for once, you shoot an unarmed man,"
4105,and now you feel bad because you can't call yourself the hero.
4106,Don't you get it yet?
4107,There is no such thing as heroes or villains.
4108,It's just a giant circle jerk.
4109,I think that philosophy says way more about you than it does about the world.
4110,"And you, you see the world so clearly?"
4111,"You probably think you're on this trip because you're some kind of contender,"
4112,some threat to me?
4113,I picked you precisely because you will never be a threat to anyone.
4114,My sister probably picked you for the same reason.
4115,I earned my place. Nobody handed it to me.
4116,"Right. A lifetime of working hard, following the rules,"
4117,and you finally reach the pinnacle of your career trajectory...
4118,Executive Vice President.
4119,Upper middle management.
4120,Do you remember the day that you finally got those three fancy little letters?
4121,EVP.
4122,"You walked into my office in that cheap black suit of yours,"
4123,and you shook my hand and you thanked me for the opportunity.
4124,That was the best day of your life.
4125,"Right, buddy."
4126,That's what I thought.
4127,What does it mean?
4128,The maze.
4129,You must follow the maze.
4130,What's wrong with me?
4131,"Perhaps, you are unraveling."
4132,Right here.
4133,Easy pumping that nitro into him.
4134,Fill the empties with tequila and seal them up.
4135,"Your work for the revolution is not quite done yet, my friend."
4136,Careful.
4137,Slim always had a bad temper.
4138,"William, we have to go now."
4139,Lazo's been conning us the whole time.
4140,He was never going to give the nitro to the Confederados. We have to run!
4141,Of course we do.
4142,"That's how this place works, right?"
4143,"They create an urgency and a sense of danger,"
4144,"so they can strip us down to something raw, animalistic, primal."
4145,"It's a sick game, and I don't want to be a part of it."
4146,This isn't a game. They'll kill us.
4147,"But together, I know we can find a way out."
4148,How can you be sure?
4149,"There's a voice inside me, telling me what I have to do."
4150,And it's telling me I need you.
4151,Shit.
4152,They have Logan.
4153,Help me.
4154,Help me.
4155,No.
4156,No more pretending.
4157,"I thought you had no appetite for war, boy."
4158,This is a declaration of war.
4159,El Lazo set us up.
4160,We can find him for you.
4161,You can find him for us by joining him in hell.
4162,"Dolores, run!"
4163,Dolores?
4164,How did you do that?
4165,You said people come here to change the story of their lives.
4166,I imagined a story where I didn't have to be the damsel.
4167,Now that train is our only chance of making it out of here alive.
4168,Motherfuckers.
4169,"You pull that trigger, we'll all go up in a ball of hellfire."
4170,"So, why don't you loosen your grip a mite?"
4171,It's okay.
4172,I don't trust him.
4173,Which is the first step to truly knowing me.
4174,"Give me your gun, El Lazo."
4175,"Now that we're all friends, you can call me Lawrence."
4176,"Now, why don't we settle in. It's a long ride to the front."
4177,You want a sip of this swill?
4178,"Don't worry, it ain't nitro."
4179,I'm coming.
4180,"The girls are a little worn out, but I can rouse one."
4181,You boys want some company?
4182,No. Just whiskey.
4183,Lawrence's donation must be running low.
4184,But we're short on time.
4185,"You need to buck up, Teddy."
4186,"I told you, no company."
4187,"Thought I might join you, anyway, as I never like to drink alone."
4188,"Well, isn't this a rare honor?"
4189,"Teddy, you know who this is?"
4190,Can't say that I do.
4191,"Everything good that has ever happened in your life,"
4192,"and everything rotten, this is the man you have to thank."
4193,"How am I doing, Robert?"
4194,Any closer to finding what I'm looking for?
4195,"And what is that, exactly?"
4196,We're looking for a man named Wyatt.
4197,"Killed a rancher back in Sweetwater, took his daughter."
4198,That last part doesn't sound familiar.
4199,Figured your stories could use a little embellishment.
4200,"You know, I always felt this place was missing a real villain,"
4201,hence my humble contribution.
4202,"I admit, I lack the imagination to even conceive of someone like you."
4203,"The urgency, however, doesn't quite fit the character."
4204,It betrays a certain anxiety.
4205,"Now, Wyatt, on the other hand, that's something new."
4206,"Is he just another stooge for the tourists to mount on their wall at home,"
4207,or have you finally made a worthy adversary?
4208,Someone to stop me from finding the center of the maze.
4209,And what is it you're hoping to find there?
4210,"You know why you exist, Teddy?"
4211,"The world out there, the one you'll never see,"
4212,is one of plenty.
4213,"A fat, soft teat people cling to their entire life."
4214,"Every need taken care of,"
4215,except one.
4216,Purpose.
4217,Meaning.
4218,"So, they come here."
4219,"They can be a little scared, a little thrilled,"
4220,"enjoy some sweetly affirmative bullshit,"
4221,and then they take a fucking picture and they go back home.
4222,But I think there's a deeper meaning
4223,hiding under all that.
4224,Something that the person who created it wanted to express.
4225,Something true.
4226,"Well, if you're looking for the moral of the story,"
4227,you could quite simply ask.
4228,I'd need a shovel.
4229,The man I'd be asking died 35 years ago.
4230,Almost took this place with him.
4231,"Almost, but not quite. Thanks to me."
4232,"Well, maybe he left something behind."
4233,I wonder what I would find if I opened you up.
4234,"Even at death's door, you're still a loyal pet."
4235,"Is that why you came here, Robert?"
4236,To try to talk me out of it?
4237,On the contrary.
4238,Far be it from me to get in the way of a voyage of self-discovery.
4239,Mr. Flood.
4240,"We must look back and smile at perils past, mustn't we?"
4241,We should get back on the road. Time's a-wasting.
4242,"Hello, Felix."
